"id","eixo","subeixo","modalidade","fonte","subfonte","ano_selecao","uf","municipio","regiao","codigo","grupo_modalidade","vlr_portaria_ogu","vlr_portaria_fin","vlr_portaria_total","status_selecao","tipo_financiamento","origem_dado","num_portaria","link_portaria"
S-1,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,FIN,FGTS,2025,SC,LAJES,Sul,"56000000686/2025",Seleção Normal,,28555358.2,28555358.2,enquadrada,Setor Público,Novo PAC - Seleção,"1.425, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.425-de-10-de-dezembro-de-2025-674489067
S-2,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,FIN,FGTS,2025,BA,SALVADOR,Nordeste,"56000000563/2025",Seleção Normal,,35130080.92,35130080.92,enquadrada,Setor Privado,Novo PAC - Seleção,"1.425, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.425-de-10-de-dezembro-de-2025-674489067
S-3,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,FIN,FGTS,2025,BA,JAGUARARI,Nordeste,"56000000601/2025",Seleção Normal,,29657922.79,29657922.79,enquadrada,Setor Privado,Novo PAC - Seleção,"1.425, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.425-de-10-de-dezembro-de-2025-674489067
S-4,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,FIN,FGTS,2025,BA,ITAPICURU,Nordeste,"56000000669/2025",Seleção Normal,,35940485,35940485,enquadrada,Setor Privado,Novo PAC - Seleção,"1.425, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.425-de-10-de-dezembro-de-2025-674489067
S-5,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,FIN,FGTS,2025,BA,SALVADOR,Nordeste,"56000000911/2025",Seleção Normal,,76963437.59,76963437.59,enquadrada,Setor Privado,Novo PAC - Seleção,"1.425, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.425-de-10-de-dezembro-de-2025-674489067
S-6,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,FIN,FGTS,2025,BA,IBIRATAIA,Nordeste,"56000001219/2025",Seleção Normal,,91304589.95,91304589.95,enquadrada,Setor Privado,Novo PAC - Seleção,"1.425, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.425-de-10-de-dezembro-de-2025-674489067
S-7,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,FIN,FGTS,2025,BA,ITUBERA,Nordeste,"56000001330/2025",Seleção Normal,,133650435.7,133650435.7,enquadrada,Setor Privado,Novo PAC - Seleção,"1.425, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.425-de-10-de-dezembro-de-2025-674489067
S-8,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,FIN,FGTS,2025,BA,FEIRA DE SANTANA,Nordeste,"56000000622/2025",Seleção Normal,,365000000,365000000,enquadrada,Setor Privado,Novo PAC - Seleção,"1.425, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.425-de-10-de-dezembro-de-2025-674489067
S-9,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,FIN,FGTS,2025,BA,MATA DE SAO JOAO,Nordeste,"56000008233/2025",Seleção Normal,,89186425.26,89186425.26,enquadrada,Setor Privado,Novo PAC - Seleção,"1.425, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.425-de-10-de-dezembro-de-2025-674489067
S-10,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,FIN,FGTS,2025,GO,CATALAO,Centro-Oeste,"56000001438/2025",Seleção Normal,,8000000,8000000,enquadrada,Setor Público,Novo PAC - Seleção,"1.425, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.425-de-10-de-dezembro-de-2025-674489067
S-11,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,FIN,FGTS,2025,MG,UBERLÂNDIA,Sudeste,"56000000464/2025",Seleção Normal,,1012358.46,1012358.46,enquadrada,Setor Público,Novo PAC - Seleção,"1.425, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.425-de-10-de-dezembro-de-2025-674489067
S-12,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,FIN,FGTS,2025,MG,OLIVEIRA,Sudeste,"56000001645/2025",Seleção Normal,,674301.74,674301.74,enquadrada,Setor Público,Novo PAC - Seleção,"1.425, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.425-de-10-de-dezembro-de-2025-674489067
S-13,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,FIN,FGTS,2025,MT,IPIRANGA DO NORTE,Centro-Oeste,"56000000409/2025",Seleção Normal,,27705870.26,27705870.26,enquadrada,Setor Público,Novo PAC - Seleção,"1.425, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.425-de-10-de-dezembro-de-2025-674489067
S-14,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,FIN,FGTS,2025,RJ,MANGARATIBA,Sudeste,"56000000727/2025",Seleção Normal,,46118261,46118261,enquadrada,Setor Privado,Novo PAC - Seleção,"1.425, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.425-de-10-de-dezembro-de-2025-674489067
S-15,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,FIN,FGTS,2025,RJ,MANGARATIBA,Sudeste,"56000001488/2025",Seleção Normal,,93974051.87,93974051.87,enquadrada,Setor Privado,Novo PAC - Seleção,"1.425, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.425-de-10-de-dezembro-de-2025-674489067
S-16,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,FIN,FGTS,2025,SP,VALINHOS,Sudeste,"56000000084/2025",Seleção Normal,,108688877.67,108688877.67,enquadrada,Setor Público,Novo PAC - Seleção,"1.425, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.425-de-10-de-dezembro-de-2025-674489067
S-17,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,FIN,FGTS,2025,SP,ITU,Sudeste,"56000000960/2025",Seleção Normal,,57260148.3,57260148.3,enquadrada,Setor Público,Novo PAC - Seleção,"1.425, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.425-de-10-de-dezembro-de-2025-674489067
S-18,Cidades Sustentáveis e Resilientes,Resíduos Sólidos,Resíduos Sólidos,OGU,OGU,2025,AP,TARTARUGALZINHO,Norte,"56000008460/2025",Seleção Normal,15000000,,15000000,selecionada,Setor Público,Novo PAC - Seleção,"1.488, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.488-de-24-de-dezembro-de-2025-678071129
S-19,Cidades Sustentáveis e Resilientes,Resíduos Sólidos,Resíduos Sólidos,OGU,OGU,2025,MA,ESTADO DO MA,Nordeste,"56000008394/2025",Seleção Normal,15200000,,15200000,selecionada,Setor Público,Novo PAC - Seleção,"1.488, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.488-de-24-de-dezembro-de-2025-678071129
S-20,Cidades Sustentáveis e Resilientes,Resíduos Sólidos,Resíduos Sólidos,OGU,OGU,2025,MS,NAVIRAI,Centro-Oeste,"56000008362/2025",Seleção Normal,2356867,,2356867,selecionada,Setor Público,Novo PAC - Seleção,"1.488, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.488-de-24-de-dezembro-de-2025-678071129
S-21,Cidades Sustentáveis e Resilientes,Resíduos Sólidos,Resíduos Sólidos,OGU,OGU,2025,PA,BREVES,Norte,"56000008542/2025",Seleção Normal,1467979,,1467979,selecionada,Setor Público,Novo PAC - Seleção,"1.488, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.488-de-24-de-dezembro-de-2025-678071129
S-22,Cidades Sustentáveis e Resilientes,Mobilidade Urbana Sustentável,Renovação de Frota,FIN,FGTS,2025,MG,JUIZ DE FORA,Sudeste,carta consulta 152/2025,Seleção Normal,,34093600,34093600,selecionada,Setor Privado,Novo PAC - Seleção,"1.175, de 2025",https://www.in.gov.br/web/dou/-/portaria-mcid-n-1.175-de-7-de-outubro-de-2025-661309113
S-23,Cidades Sustentáveis e Resilientes,Mobilidade Urbana Sustentável,Renovação de Frota,FIN,FGTS,2025,MG,BELO HORIZONTE,Sudeste,carta consulta 156/2025,Seleção Normal,,75278000,75278000,selecionada,Setor Privado,Novo PAC - Seleção,"1.174, de 2025",https://www.in.gov.br/web/dou/-/portaria-mcid-n-1.174-de-7-de-outubro-de-2025-661322785
S-24,Cidades Sustentáveis e Resilientes,Mobilidade Urbana Sustentável,Renovação de Frota,FIN,FGTS,2025,SC,FLORIANOPOLIS,Sul,carta consulta 160/2025,Seleção Normal,,8265000,8265000,selecionada,Setor Privado,Novo PAC - Seleção,"1.266, de 2025",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-1.266-de-3-de-novembro-de-2025-667087974
S-25,Cidades Sustentáveis e Resilientes,Mobilidade Urbana Sustentável,Renovação de Frota,FIN,FGTS,2025,SC,FLORIANOPOLIS,Sul,carta consulta 164/2025,Seleção Normal,,10212500,10212500,selecionada,Setor Privado,Novo PAC - Seleção,"1.269, de 2025",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-1.269-de-3-de-novembro-de-2025-667110102
S-26,Cidades Sustentáveis e Resilientes,Mobilidade Urbana Sustentável,Renovação de Frota,FIN,FGTS,2025,SP,FRANCISCO MORATO,Sudeste,carta consulta 168/2025,Seleção Normal,,28500000,28500000,selecionada,Setor Privado,Novo PAC - Seleção,"1.309, de 2025",https://www.in.gov.br/web/dou/-/portaria-mcid-n-1.309-de-13-de-novembro-de-2025-669544261
S-27,Cidades Sustentáveis e Resilientes,Mobilidade Urbana Sustentável,Renovação de Frota,FIN,FGTS,2025,DF,BRASILIA,Centro-Oeste,carta consulta 182/2025,Seleção Normal,,139400000,139400000,selecionada,Setor Privado,Novo PAC - Seleção,"1.333, de 2025",https://www.in.gov.br/web/dou/-/portaria-mcid-n-1.333-de-19-de-novembro-de-2025-670237131
S-28,Cidades Sustentáveis e Resilientes,Resíduos Sólidos,Resíduos Sólidos,OGU,OGU,2025,PA,SAO CAETANO DE ODIVELAS,Norte,"56000008462/2025",Seleção Normal,4872938,,4872938,selecionada,Setor Público,Novo PAC - Seleção,"1.488, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.488-de-24-de-dezembro-de-2025-678071129
S-29,Cidades Sustentáveis e Resilientes,Resíduos Sólidos,Resíduos Sólidos,OGU,OGU,2025,PE,TACARATU,Nordeste,"56000008540/2025",Seleção Normal,2522149,,2522149,selecionada,Setor Público,Novo PAC - Seleção,"1.488, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.488-de-24-de-dezembro-de-2025-678071129
S-30,Cidades Sustentáveis e Resilientes,Resíduos Sólidos,Resíduos Sólidos,OGU,OGU,2025,RJ,SILVA JARDIM,Sudeste,"56000008465/2025",Seleção Normal,3376755,,3376755,selecionada,Setor Público,Novo PAC - Seleção,"1.488, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.488-de-24-de-dezembro-de-2025-678071129
S-31,Cidades Sustentáveis e Resilientes,Resíduos Sólidos,Resíduos Sólidos,OGU,OGU,2025,RS,RIO GRANDE,Sul,"56000008385/2025",Seleção Normal,8000000,,8000000,selecionada,Setor Público,Novo PAC - Seleção,"1.488, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.488-de-24-de-dezembro-de-2025-678071129
S-32,Cidades Sustentáveis e Resilientes,Resíduos Sólidos,Resíduos Sólidos,OGU,OGU,2025,SE,NOSSA SENHORA DO SOCORRO,Nordeste,"56000008354/2025",Seleção Normal,8422483,,8422483,selecionada,Setor Público,Novo PAC - Seleção,"1.488, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.488-de-24-de-dezembro-de-2025-678071129
S-33,Cidades Sustentáveis e Resilientes,Resíduos Sólidos,Resíduos Sólidos,OGU,OGU,2025,SP,MOGI GUACU,Sudeste,"56000008397/2025",Seleção Normal,2906185,,2906185,selecionada,Setor Público,Novo PAC - Seleção,"1.488, de 2025",https://in.gov.br/web/dou/-/portaria-mcid-n-1.488-de-24-de-dezembro-de-2025-678071129
S-34,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,FIN,FGTS,2025,MT,CACERES,Centro-Oeste,"56000008273/2025",Seleção Normal,,72247225.88,72247225.88,enquadrada,Setor Público,Novo PAC - Seleção,"1.426, de 2025",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-1.426-de-10-de-dezembro-de-2025-674494218
S-35,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,OGU,OGU,2024,SP,SANTA ADELIA,Sudeste,"56000000513/2023",Seleção Normal,1804198.55,0,1804198.55,selecionada,,Novo PAC - Seleção,"769, de 2024",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-769-de-26-de-julho-de-2024-574546917
S-36,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,OGU,OGU,2024,SE,ARACAJU,Nordeste,"56000000197/2023",Seleção Normal,83140579.37,0,83140579.37,selecionada,,Novo PAC - Seleção,"769, de 2024",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-769-de-26-de-julho-de-2024-574546917
S-37,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,OGU,OGU,2024,MS,BELA VISTA,Centro-Oeste,"56000000230/2023",Seleção Normal,3500000,0,3500000,selecionada,,Novo PAC - Seleção,"769, de 2024",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-769-de-26-de-julho-de-2024-574546917
S-38,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,OGU,OGU,2024,RJ,MENDES,Sudeste,"56000000391/2023",Seleção Normal,29217403.35,0,29217403.35,selecionada,,Novo PAC - Seleção,"769, de 2024",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-769-de-26-de-julho-de-2024-574546917
S-39,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,OGU,OGU,2024,SP,BROTAS,Sudeste,"56000002513/2023",Seleção Normal,16458516.42,0,16458516.42,selecionada,,Novo PAC - Seleção,"769, de 2024",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-769-de-26-de-julho-de-2024-574546917
S-40,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,OGU,OGU,2024,BA,BREJOLANDIA,Nordeste,"56000000612/2023",Seleção Normal,18993884.62,0,18993884.62,selecionada,,Novo PAC - Seleção,"769, de 2024",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-769-de-26-de-julho-de-2024-574546917
S-41,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,OGU,OGU,2024,SC,CAPINZAL,Sul,"56000000857/2023",Seleção Normal,7113685.34,0,7113685.34,selecionada,,Novo PAC - Seleção,"769, de 2024",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-769-de-26-de-julho-de-2024-574546917
S-42,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,OGU,OGU,2024,MG,UBAPORANGA,Sudeste,"56000000951/2023",Seleção Normal,25887158.08,0,25887158.08,selecionada,,Novo PAC - Seleção,"769, de 2024",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-769-de-26-de-julho-de-2024-574546917
S-43,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,OGU,OGU,2024,SC,BRUNOPOLIS,Sul,"56000001502/2023",Seleção Normal,5066310.75,0,5066310.75,selecionada,,Novo PAC - Seleção,"769, de 2024",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-769-de-26-de-julho-de-2024-574546917
S-44,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,OGU,OGU,2024,MG,IAPU,Sudeste,"56000002061/2023",Seleção Normal,6146402.39,0,6146402.39,selecionada,,Novo PAC - Seleção,"769, de 2024",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-769-de-26-de-julho-de-2024-574546917
S-45,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,OGU,OGU,2024,RN,CRUZETA,Nordeste,"56000002160/2023",Seleção Normal,15609671.94,0,15609671.94,selecionada,,Novo PAC - Seleção,"769, de 2024",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-769-de-26-de-julho-de-2024-574546917
S-46,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,OGU,OGU,2024,MG,SAO JOAO DO MANHUACU,Sudeste,"56000002538/2023",Seleção Normal,14283488.61,0,14283488.61,selecionada,,Novo PAC - Seleção,"769, de 2024",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-769-de-26-de-julho-de-2024-574546917
S-47,Cidades Sustentáveis e Resilientes,Esgotamento Sanitário,Esgotamento Sanitário,OGU,OGU,2024,TO,PAU D'ARCO,Norte,"56000002658/2023",Seleção Normal,10403922.6,0,10403922.6,selecionada,,Novo PAC - Seleção,"769, de 2024",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-769-de-26-de-julho-de-2024-574546917
S-48,Cidades Sustentáveis e Resilientes,Mobilidade Urbana Sustentável,Renovação de Frota,FIN,FGTS,2026,RS,Porto Alegre,Sul,carta consulta 03/2026,Seleção Normal,0,13300000,13300000,selecionada,Setor Privado,Novo PAC - Seleção,"92, de 2026",https://www.in.gov.br/web/dou/-/portaria-mcid-n-92-de-27-de-janeiro-de-2026-684174490
S-49,Cidades Sustentáveis e Resilientes,Mobilidade Urbana Sustentável,Renovação de Frota,FIN,FGTS,2026,MG,Belo Horizonte,Sudeste,carta consulta 09/2026,Seleção Normal,0,17340000,17340000,selecionada,Setor Privado,Novo PAC - Seleção,"162, de 2026",https://www.in.gov.br/web/dou/-/portaria-mcid-n-168-de-20-de-fevereiro-de-2026-688408409
S-50,Cidades Sustentáveis e Resilientes,Mobilidade Urbana Sustentável,Renovação de Frota,FIN,FGTS,2026,PE,"Itamaracá, Araçoiaba, Itapissuma, Igarassu, Abreu e Lima, Paulista, Olinda e Recife",Nordeste,carta consulta 02/2026,Seleção Normal,0,9600000,9600000,selecionada,Setor Privado,Novo PAC - Seleção,"164, de 2026",https://www.in.gov.br/web/dou/-/portaria-mcid-n-164-de-20-de-fevereiro-de-2026-688419404
S-51,Cidades Sustentáveis e Resilientes,Prevenção a Desastres,Drenagem Urbana,OGU,OGU,2025,AL,MARAGOGI,Nordeste,"56000002108/2025",Seleção Normal,18143734.46,0,18143734.46,selecionada,,Novo PAC - Seleção,"1.083, de 2025",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-1.083-de-18-de-setembro-de-2025-657673658
S-52,Cidades Sustentáveis e Resilientes,Prevenção a Desastres,Drenagem Urbana,OGU,OGU,2025,AM,ITACOATIARA,Norte,"56000002348/2025",Seleção Normal,10000000,0,10000000,selecionada,,Novo PAC - Seleção,"1.083, de 2025",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-1.083-de-18-de-setembro-de-2025-657673658
S-53,Cidades Sustentáveis e Resilientes,Prevenção a Desastres,Drenagem Urbana,OGU,OGU,2025,BA,ESTADO DA BAHIA,Nordeste,"56000001616/2025",Seleção Normal,146677138.2,0,146677138.2,selecionada,,Novo PAC - Seleção,"1.083, de 2025",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-1.083-de-18-de-setembro-de-2025-657673658
S-54,Cidades Sustentáveis e Resilientes,Prevenção a Desastres,Drenagem Urbana,OGU,OGU,2025,BA,JUAZEIRO,Nordeste,"56000000534/2025",Seleção Normal,44825566.8,0,44825566.8,selecionada,,Novo PAC - Seleção,"1.083, de 2025",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-1.083-de-18-de-setembro-de-2025-657673658
S-55,Cidades Sustentáveis e Resilientes,Prevenção a Desastres,Drenagem Urbana,OGU,OGU,2025,CE,CRATEUS,Nordeste,"56000001400/2025",Seleção Normal,70183126.52,0,70183126.52,selecionada,,Novo PAC - Seleção,"1.083, de 2025",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-1.083-de-18-de-setembro-de-2025-657673658
S-56,Cidades Sustentáveis e Resilientes,Prevenção a Desastres,Drenagem Urbana,OGU,OGU,2025,CE,MORADA NOVA,Nordeste,"56000002257/2025",Seleção Normal,11410871.01,0,11410871.01,selecionada,,Novo PAC - Seleção,"1.083, de 2025",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-1.083-de-18-de-setembro-de-2025-657673658
S-57,Cidades Sustentáveis e Resilientes,Prevenção a Desastres,Drenagem Urbana,OGU,OGU,2025,GO,ANAPOLIS,Centro-Oeste,"56000000991/2025",Seleção Normal,30000000,0,30000000,selecionada,,Novo PAC - Seleção,"1.083, de 2025",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-1.083-de-18-de-setembro-de-2025-657673658
S-58,Cidades Sustentáveis e Resilientes,Prevenção a Desastres,Drenagem Urbana,OGU,OGU,2025,MA,BACABAL,Nordeste,"56000001634/2025",Seleção Normal,26000000,0,26000000,selecionada,,Novo PAC - Seleção,"1.083, de 2025",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-1.083-de-18-de-setembro-de-2025-657673658
S-59,Cidades Sustentáveis e Resilientes,Prevenção a Desastres,Drenagem Urbana,OGU,OGU,2025,MA,TIMON,Nordeste,"56000000015/2025",Seleção Normal,50000000,0,50000000,selecionada,,Novo PAC - Seleção,"1.083, de 2025",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-1.083-de-18-de-setembro-de-2025-657673658
S-60,Cidades Sustentáveis e Resilientes,Prevenção a Desastres,Drenagem Urbana,OGU,OGU,2025,MG,IBIRITE,Sudeste,"56000002137/2025",Seleção Normal,10441138.63,0,10441138.63,selecionada,,Novo PAC - Seleção,"1.083, de 2025",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-1.083-de-18-de-setembro-de-2025-657673658
S-61,Cidades Sustentáveis e Resilientes,Prevenção a Desastres,Drenagem Urbana,OGU,OGU,2025,MT,CONFRESA,Centro-Oeste,"56000001505/2025",Seleção Normal,23893182.63,0,23893182.63,selecionada,,Novo PAC - Seleção,"1.083, de 2025",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-1.083-de-18-de-setembro-de-2025-657673658
S-62,Cidades Sustentáveis e Resilientes,Prevenção a Desastres,Drenagem Urbana,OGU,OGU,2025,PA,ALMEIRIM,Norte,"56000000904/2025",Seleção Normal,20000000,0,20000000,selecionada,,Novo PAC - Seleção,"1.083, de 2025",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-1.083-de-18-de-setembro-de-2025-657673658
S-63,Cidades Sustentáveis e Resilientes,Prevenção a Desastres,Drenagem Urbana,OGU,OGU,2025,PA,BRAGANCA,Norte,"56000000416/2025",Seleção Normal,61000000,0,61000000,selecionada,,Novo PAC - Seleção,"1.083, de 2025",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-1.083-de-18-de-setembro-de-2025-657673658
S-64,Cidades Sustentáveis e Resilientes,Prevenção a Desastres,Drenagem Urbana,OGU,OGU,2025,PA,CURUA,Norte,"56000000789/2025",Seleção Normal,10000000,0,10000000,selecionada,,Novo PAC - Seleção,"1.083, de 2025",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-1.083-de-18-de-setembro-de-2025-657673658
S-65,Cidades Sustentáveis e Resilientes,Prevenção a Desastres,Drenagem Urbana,OGU,OGU,2025,PA,MONTE ALEGRE,Norte,"56000000012/2025",Seleção Normal,18000000,0,18000000,selecionada,,Novo PAC - Seleção,"1.083, de 2025",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-1.083-de-18-de-setembro-de-2025-657673658
S-66,Cidades Sustentáveis e Resilientes,Prevenção a Desastres,Drenagem Urbana,OGU,OGU,2025,PA,PARAGOMINAS,Norte,"56000000753/2025",Seleção Normal,60000000,0,60000000,selecionada,,Novo PAC - Seleção,"1.083, de 2025",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-1.083-de-18-de-setembro-de-2025-657673658
S-67,Cidades Sustentáveis e Resilientes,Prevenção a Desastres,Drenagem Urbana,OGU,OGU,2025,PA,VIGIA,Norte,"56000000849/2025",Seleção Normal,15000000,0,15000000,selecionada,,Novo PAC - Seleção,"1.083, de 2025",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-1.083-de-18-de-setembro-de-2025-657673658
S-68,Cidades Sustentáveis e Resilientes,Prevenção a Desastres,Drenagem Urbana,OGU,OGU,2025,PB,CAMPINA GRANDE,Nordeste,"56000001430/2025",Seleção Normal,46350000,0,46350000,selecionada,,Novo PAC - Seleção,"1.083, de 2025",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-1.083-de-18-de-setembro-de-2025-657673658
S-69,Cidades Sustentáveis e Resilientes,Prevenção a Desastres,Drenagem Urbana,OGU,OGU,2025,PE,LIMOEIRO,Nordeste,"56000000498/2025",Seleção Normal,14486788.88,0,14486788.88,selecionada,,Novo PAC - Seleção,"1.083, de 2025",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-1.083-de-18-de-setembro-de-2025-657673658
S-70,Cidades Sustentáveis e Resilientes,Prevenção a Desastres,Drenagem Urbana,OGU,OGU,2025,PE,CABO DE SANTO AGOSTINHO,Nordeste,"56000001511/2025",Seleção Normal,24900000,0,24900000,selecionada,,Novo PAC - Seleção,"1.083, de 2025",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-1.083-de-18-de-setembro-de-2025-657673658
S-71,Cidades Sustentáveis e Resilientes,Prevenção a Desastres,Drenagem Urbana,OGU,OGU,2025,PR,FRANCISCO BELTRAO,Sul,"56000001229/2025",Seleção Normal,14000000,0,14000000,selecionada,,Novo PAC - Seleção,"1.083, de 2025",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-1.083-de-18-de-setembro-de-2025-657673658
S-72,Cidades Sustentáveis e Resilientes,Prevenção a Desastres,Drenagem Urbana,OGU,OGU,2025,RJ,DUQUE DE CAXIAS,Sudeste,"56000000490/2025",Seleção Normal,49530868.3,0,49530868.3,selecionada,,Novo PAC - Seleção,"1.083, de 2025",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-1.083-de-18-de-setembro-de-2025-657673658
S-73,Cidades Sustentáveis e Resilientes,Prevenção a Desastres,Drenagem Urbana,OGU,OGU,2025,RJ,SAO JOAO DE MERITI,Sudeste,"56000000756/2025",Seleção Normal,50000000,0,50000000,selecionada,,Novo PAC - Seleção,"1.083, de 2025",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-1.083-de-18-de-setembro-de-2025-657673658
S-74,Cidades Sustentáveis e Resilientes,Prevenção a Desastres,Drenagem Urbana,OGU,OGU,2025,RR,PACARAIMA,Norte,"56000000898/2025",Seleção Normal,12234332.86,0,12234332.86,selecionada,,Novo PAC - Seleção,"1.083, de 2025",https://www.in.gov.br/en/web/dou/-/portaria-mcid-n-1.083-de-18-de-setembro-de-2025-657673658
